Sr_No,Application Name,Customer Initiated Transactions in Volume (Mn),Customer Initiated Transactions in Value (Cr),B2C Transactions in Volume (Mn),B2C Transactions in Value (Cr),B2B Transactions in Volume (Mn),B2B Transactions in Value (Cr),On-us Transactions in Volume (Mn),On-us Transactions in Value (Cr),Total in Volume (Mn),Total in Value (Cr),Date
52037,Central Bank of India Apps,0.63,150.41,0,0,0,0,0,0,0.63,150.41,Jan-24
52041,Shriram One,0.59,31.86,0,0,0,0,0,0,0.59,31.86,Jan-24
52069,FIFEDERAL,0.47,57.15,0,0,0,0,0,0,0.47,57.15,Jan-24
52070,BPAYWALLET,0.43,88.49,0,0,0,0,0,0,0.43,88.49,Jan-24
52078,MBK,0.39,57.77,0,0,0,0,0,0,0.39,57.77,Jan-24
52042,South Indian Bank Apps,0.33,105.23,0,0,0,0,0,0,0.33,105.23,Jan-24
52047,Bank of India Apps,0.29,108.18,0,0,0,0,0,0,0.29,108.18,Jan-24
52043,Fino Payments bank Apps,0.29,31.67,0,0,0,0,0,0,0.29,31.67,Jan-24
52079,INDIE - Indus Ind,0.25,42.84,0,0,0,0,0,0,0.25,42.84,Jan-24
52050,UCO Bank Apps,0.21,76.62,0,0,0,0,0,0,0.21,76.62,Jan-24
52045,HSBC Bank Apps,0.2,117.97,0,0.03,0,0,0,0,0.2,118,Jan-24
52055,Tamilnad Mercantile Bank Apps,0.12,32.85,0,0,0,0,0,0,0.12,32.85,Jan-24
52054,Indian Overseas Bank Apps,0.11,29.92,0,0,0,0,0,0,0.11,29.92,Jan-24
52056,Ultracash,0.08,5.95,0,0,0,0,0,0,0.08,5.95,Jan-24
52057,Citi Bank Apps,0.08,79.39,0,0,0,0,0,0,0.08,79.39,Jan-24
52053,Digikhata,0.08,30.34,0,0,0,0,0,0,0.08,30.34,Jan-24
52046,TataNeu,0.08,11.48,0,0,0,0,0,0,0.08,11.48,Jan-24
52058,City Union Bank Apps,0.08,25.49,0,0,0,0,0,0,0.08,25.49,Jan-24
52075,IDBI Bank Apps,0.08,42.31,0,0,0,0,0,0,0.08,42.31,Jan-24
52073,Jupiter Edge (LivQuick PPI),0.05,14.71,0,0,0,0,0,0,0.05,14.71,Jan-24
52061,Karur Vysya Bank Apps,0.04,15.23,0,0,0,0,0,0,0.04,15.23,Jan-24
52059,NSDL Payments Bank Apps,0.04,5.77,0,0,0,0,0,0,0.04,5.77,Jan-24
52060,Bank of Maharashtra Apps,0.04,8.06,0,0,0,0,0,0,0.04,8.06,Jan-24
52049,DHANI,0.04,2.71,0,0,0,0,0,0,0.04,2.71,Jan-24
52080,PAYTMWALLET,0.03,3.11,0,0,0,0,0,0,0.03,3.11,Jan-24
52063,MakeMyTrip,0.03,15.48,0,0,0,0,0,0,0.03,15.48,Jan-24
52062,Equitas Small Finance Bank Apps,0.03,23.19,0,0,0,0,0,0,0.03,23.19,Jan-24
52033,Timepay,0.03,0.33,0,0,0,0,0,0,0.03,0.33,Jan-24
52065,Allahabad Bank Apps,0.03,6.51,0,0,0,0,0,0,0.03,6.51,Jan-24
52066,Other Apps,0.13,31.46,0,0,0,0,0,0,0.13,31.46,Jan-24
52077,DBDC Apps,0.8,46.45,0,0,0.07,1.63,0,0,0.88,48.08,Jan-24
52001,PhonePe,5642.66,"9,01,006.65",0,0,0,0,0,0,5642.66,"9,01,006.65",Dec-23
52002,Google Pay,4375.29,"6,29,285.36",0,0,0,0,0,0,4375.29,"6,29,285.36",Dec-23
52067,Paytm Payments Bank App,1442.58,"1,65,694.96",4.38,8.39,0.75,1342.34,125.89,"24,510.03",1573.61,"1,91,555.71",Dec-23
52004,Cred,105.31,"37,293.27",0,0,0,0,0,0,105.31,"37,293.27",Dec-23
52005,Axis Bank Apps,13.29,"2,657.21",73.58,3439.12,0.03,3.68,0,0,86.9,"6,100.01",Dec-23
52006,Amazon Pay,54.16,"5,982.84",0,0,0,0,0,0,54.16,"5,982.84",Dec-23
52007,ICICI Bank Apps,28.73,"11,167.31",4.46,534.86,6.9,9182.39,0,0,40.09,"20,884.56",Dec-23
52008,Fampay,34.23,392.53,0,0,0,0,0,0,34.23,392.53,Dec-23
52013,Yes Bank Apps,27.99,"12,305.58",0,0,0.37,63.28,0,0,28.37,"12,368.87",Dec-23
52009,Kotak Mahindra Bank Apps,26.36,"4,738.20",0,0,0,0,0,0,26.36,"4,738.20",Dec-23
52011,WhatsApp,25.25,"2,113.01",0,0,0,0,0,0,25.25,"2,113.01",Dec-23
52012,BHIM,24.3,"8,431.47",0,0,0,0,0,0,24.3,"8,431.47",Dec-23
52010,HDFC Bank Apps,23.68,"6,095.52",0,0,0,0.03,0,0,23.68,"6,095.54",Dec-23
52015,Bajaj Finserv,18.08,"2,580.43",0,0,0,0,0,0,18.08,"2,580.43",Dec-23
52014,Airtel Payments Bank Apps,12.26,851.64,0,0,0,0,0.28,31.71,12.54,883.36,Dec-23
52018,Groww,6.58,"4,039.81",0,0,0,0,0,0,6.58,"4,039.81",Dec-23
52019,State Bank of India Apps,6.13,"2,362.05",0,0,0.03,0.85,0,0,6.16,"2,362.90",Dec-23
52021,Samsung Pay,6.08,557.26,0,0,0,0,0,0,6.08,557.26,Dec-23
52025,Federal Bank Apps,5.95,745.4,0,0,0,0.01,0,0,5.95,745.41,Dec-23
52020,IDFC Bank Apps,5.24,"1,306.50",0,0,0,0,0,0,5.24,"1,306.50",Dec-23
52016,Mobikwik,4.95,"1,580.30",0,0,0,0,0,0,4.95,"1,580.30",Dec-23
52017,India Post Payments Bank Apps,4.87,454.5,0,0,0,0,0,0,4.87,454.5,Dec-23
52022,Jupiter,4.86,656.67,0,0,0,0,0,0,4.86,656.67,Dec-23
52024,Deutsche Bank Apps,3.71,223.34,0,0,0,0.03,0,0,3.71,223.36,Dec-23
52048,Standard Chartered Bank Apps,3.17,249.27,0,0,0.47,157.36,0,0,3.63,406.63,Dec-23
52026,Canara Bank Apps,2.55,719.5,0,0,0,0,0,0,2.55,719.5,Dec-23
52031,RBL Bank Apps,1.93,697.43,0,0.01,0.21,55.79,0,0,2.14,753.23,Dec-23
52028,slice,1.96,403.07,0,0,0,0,0,0,1.96,403.07,Dec-23
52029,Jio Payments Bank Apps,1.35,125.06,0,0,0,0,0,0,1.35,125.06,Dec-23
52032,Punjab National Bank Apps,1.26,276.47,0,0,0,0,0,0,1.26,276.47,Dec-23
52035,Omnicard,1.16,36.26,0,0,0,0,0,0,1.16,36.26,Dec-23
52036,Bank of Baroda Apps,1.05,453.4,0,0,0,10.68,0,0,1.05,464.08,Dec-23
52044,IndusInd Bank Apps,1.05,203.58,0,0,0,0,0,0,1.05,203.58,Dec-23
52034,Union Bank Apps,1.02,405.74,0,0,0,0,0,0,1.02,405.74,Dec-23
52028,SLICE,0.95,32.65,0,0,0,0,0,0,0.95,32.65,Dec-23
52040,DBS Digibank Apps,0.78,245.47,0,0,0,1.47,0,0,0.79,246.94,Dec-23
52039,GoKiwi,0.77,104.27,0,0,0,0,0,0,0.77,104.27,Dec-23
52051,Karnataka Bank Apps,0.72,144.87,0,0,0,0.01,0,0,0.72,144.89,Dec-23
52027,Navi,0.69,43.86,0,0,0,0,0,0,0.69,43.86,Dec-23
52038,AU Small Finance Bank Apps,0.68,252.89,0,0,0,0,0,0,0.68,252.89,Dec-23
52037,Central Bank of India Apps,0.58,136.84,0,0,0,0,0,0,0.58,136.84,Dec-23
52030,Indian Bank Apps,0.4,98.27,0,0,0,8.79,0,0,0.4,107.06,Dec-23
52041,Shriram One,0.33,19.47,0,0,0,0,0,0,0.33,19.47,Dec-23
52081,Bajaj Pay Wallet,0.32,72.38,0,0,0,0,0,0,0.32,72.38,Dec-23
52042,South Indian Bank Apps,0.3,86.96,0,0,0,0,0,0,0.3,86.96,Dec-23
52047,Bank of India Apps,0.29,103.82,0,0,0,0,0,0,0.29,103.82,Dec-23
52050,UCO Bank Apps,0.29,94.81,0,0,0,0,0,0,0.29,94.81,Dec-23
52016,Mobikwik,0.28,38.53,0,0,0,0,0,0,0.28,38.53,Dec-23
52043,Fino Payments bank Apps,0.27,26.7,0,0,0,0,0,0,0.27,26.7,Dec-23
52079,INDIE - Indus Ind,0.2,35.32,0,0,0,0,0,0,0.2,35.32,Dec-23
52045,HSBC Bank Apps,0.2,123.63,0,0.08,0,0,0,0,0.2,123.7,Dec-23
52055,Tamilnad Mercantile Bank Apps,0.11,31.47,0,0,0,0,0,0,0.11,31.47,Dec-23
52054,Indian Overseas Bank Apps,0.11,27.85,0,0,0,0,0,0,0.11,27.85,Dec-23
52056,Ultracash,0.08,5.06,0,0,0,0,0,0,0.08,5.06,Dec-23
52046,TataNeu,0.08,10.49,0,0,0,0,0,0,0.08,10.49,Dec-23
52075,IDBI Bank Apps,0.07,38.61,0,0,0,0,0,0,0.07,38.61,Dec-23
