Sr_No,Application Name,Customer Initiated Transactions in Volume (Mn),Customer Initiated Transactions in Value (Cr),B2C Transactions in Volume (Mn),B2C Transactions in Value (Cr),B2B Transactions in Volume (Mn),B2B Transactions in Value (Cr),On-us Transactions in Volume (Mn),On-us Transactions in Value (Cr),Total in Volume (Mn),Total in Value (Cr),Date
52056,Ultracash,0.03,1.65,0,0,0,0,0,0,0.03,1.65,Dec-22
52034,Union Bank Apps,0.92,310.63,0,0,0,0,0,0,0.92,310.63,Dec-22
52095,Utkarsh Small Finance Bank Apps,0.02,7.81,0,0,0,0,0,0,0.02,7.81,Dec-22
52011,WhatsApp,11.05,917.49,0,0,0,0,0,0,11.05,917.49,Dec-22
52013,Yes Bank Apps,35.98,"13,324.11",0,0,0.18,91.35,0,0,36.16,"13,415.46",Dec-22
52086,Others,0.03,7.64,0,0,0,0,0,0,0.03,7.64,Dec-22
52014,Airtel Payments Bank Apps,8.73,671,0,0,0,0,0,0.09,8.73,671.09,Nov-22
52065,Allahabad Bank Apps,0.03,8.98,0,0,0,0,0,0,0.03,8.98,Nov-22
52006,Amazon Pay,59.76,"5,873.36",0,0,0,0,0,0,59.76,"5,873.36",Nov-22
52121,Andhra Bank Apps,0.01,1.53,0,0,0,0,0,0,0.01,1.53,Nov-22
52038,AU Small Finance Bank Apps,0.53,160.3,0,0,0,0,0,0,0.53,160.3,Nov-22
52005,Axis Bank Apps,6.16,"1,061.61",71.59,57.35,0.03,2.28,0,0,77.77,"1,121.24",Nov-22
52015,Bajaj Finserv,3.9,464.41,0,0,0,0,0,0,3.9,464.41,Nov-22
52106,Bandhan Bank Apps,0.01,1.21,0,0,0,0,0,0,0.01,1.21,Nov-22
52036,Bank of Baroda Apps,1.26,455.8,0,0,0,0,0,0,1.26,455.8,Nov-22
52047,Bank of India Apps,0.2,57.87,0,0,0,0,0,0,0.2,57.87,Nov-22
52060,Bank of Maharashtra Apps,0.07,18.29,0,0,0,0,0,0,0.07,18.29,Nov-22
52012,BHIM,25.01,"8,144.83",0,0,0,0,0,0,25.01,"8,144.83",Nov-22
52026,Canara Bank Apps,0.86,232.51,0,0,0,0,0,0,0.86,232.51,Nov-22
52037,Central Bank of India Apps,0.27,63.29,0,0,0,0.02,0,0,0.27,63.31,Nov-22
52057,Citi Bank Apps,0.13,60.76,0,0,0,0,0,0,0.13,60.76,Nov-22
52058,City Union Bank Apps,0.04,12.58,0,0,0,0,0,0,0.04,12.58,Nov-22
52110,Cointab,0.03,13.87,0,0,0,0,0,0,0.03,13.87,Nov-22
52004,Cred,25.63,"18,599.72",0,0,0,0,0,0,25.63,"18,599.72",Nov-22
52040,DBS Digibank Apps,0.4,169.55,0,0,0,0,0,0,0.41,169.55,Nov-22
52024,Deutsche Bank Apps,1.3,104.2,0,0,0,0.01,0,0,1.3,104.21,Nov-22
52101,Dhanlaxmi Bank Apps,0.01,2.75,0,0,0,0,0,0,0.01,2.75,Nov-22
52062,Equitas Small Finance Bank Apps,0.02,9.82,0,0,0,0,0,0,0.02,9.82,Nov-22
52090,Fampay PPI,4.88,64.75,0,0,0,0,0,0,4.88,64.75,Nov-22
52082,Fave,0.05,2.83,0,0,0,0,0,0,0.05,2.83,Nov-22
52025,Federal Bank Apps,4.11,553.97,0,0,0,0,0,0,4.11,553.97,Nov-22
52043,Fino Payments bank Apps,0.1,6.61,0,0,0,0,0,0,0.1,6.61,Nov-22
52002,Google Pay,"2,541.14","4,09,714.75",0,0,0,0,0,0,"2,541.14","4,09,714.75",Nov-22
52018,Groww,0.05,36.46,0,0,0,0,0,0,0.05,36.46,Nov-22
52010,HDFC Bank Apps,10.66,"2,758.27",0,0,0,0.18,0,0,10.66,"2,758.45",Nov-22
52045,HSBC Bank Apps,0.12,72.51,0,0.06,0,0,0,0,0.12,72.58,Nov-22
52007,ICICI Bank Apps,33.4,"7,829.07",4.32,334.5,6.36,"6,587.24",0,0,44.07,"14,750.80",Nov-22
52075,IDBI Bank Apps,0.06,24.78,0,0,0,0,0,0,0.06,24.78,Nov-22
52020,IDFC Bank Apps,10.46,895.21,0,0,0.01,8.16,0,0,10.47,903.37,Nov-22
52017,India Post Payments Bank Apps,4.66,589.14,0,0,0,0,0,0,4.66,589.14,Nov-22
52030,Indian Bank Apps,0.23,67.2,0,0,0,0,0,0,0.23,67.2,Nov-22
52054,Indian Overseas Bank Apps,0.01,2.48,0,0,0,0,0,0,0.01,2.48,Nov-22
52044,IndusInd Bank Apps,1.2,"1,224.13",0,0,0,0,0,0,1.2,"1,224.13",Nov-22
52117,Janata Sahakari Bank Apps,0.01,3.99,0,0,0,0,0,0,0.01,3.99,Nov-22
52029,Jio Payments Bank Apps,1.31,96.23,0,0,0,0,0,0,1.31,96.23,Nov-22
52022,Jupiter,2.16,275.52,0,0,0,0,0,0,2.16,275.52,Nov-22
52051,Karnataka Bank Apps,0.4,74.82,0,0,0,0,0,0,0.4,74.82,Nov-22
52061,Karur Vysya Bank Apps,0.04,16.23,0,0,0,0,0,0,0.04,16.23,Nov-22
52009,Kotak Mahindra Bank Apps,10.93,"2,304.90",0,0,0,0,0,0,10.93,"2,304.90",Nov-22
52063,MakeMyTrip,0.02,7.69,0,0,0,0,0,0,0.02,7.69,Nov-22
52016,Mobikwik,3.46,762.67,0,0,0,0,0,0,3.46,762.67,Nov-22
52059,NSDL Payments Bank Apps,0.02,2.7,0,0,0,0,0,0,0.02,2.7,Nov-22
52067,Paytm Payments Bank App,973.85,"1,09,008.43",4.12,14.81,0.37,491.76,103.13,"19,290.91","1,081.47","1,28,805.91",Nov-22
52001,PhonePe,"3,418.75","5,91,327.61",0,0,0,0,0,0,"3,418.75","5,91,327.61",Nov-22
52032,Punjab National Bank Apps,0.16,60.47,0,0,0,0,0,0,0.16,60.47,Nov-22
52085,Punjab Sind Bank Apps,0.03,8.97,0,0,0,0,0,0,0.03,8.97,Nov-22
52031,RBL Bank Apps,1.14,268.54,0,0,0.04,2.26,0,0,1.18,270.81,Nov-22
52021,Samsung Pay,5.07,506.82,0,0,0,0,0,0,5.07,506.82,Nov-22
52113,Slash,0.01,0.28,0,0,0,0,0,0,0.01,0.28,Nov-22
52028,slice,0.51,206.66,0,0,0,0,0,0,0.51,206.66,Nov-22
52042,South Indian Bank Apps,0.2,58.1,0,0,0,0,0,0,0.2,58.1,Nov-22
52048,Standard Chartered Bank Apps,0.15,79.67,0.4,12.9,0,0,0,0,0.55,92.57,Nov-22
52019,State Bank of India Apps,4.07,"1,876.46",0,0,0,0,0,0,4.07,"1,876.46",Nov-22
52055,Tamilnad Mercantile Bank Apps,0.07,10.48,0,0,0,0,0,0,0.07,10.48,Nov-22
52046,TataNeu,0.14,17.17,0,0,0,0,0,0,0.14,17.17,Nov-22
52122,TJSB Bank Apps,0.01,2.25,0,0,0,0,0,0,0.01,2.25,Nov-22
52050,UCO Bank Apps,0.26,78.38,0,0,0,0,0,0,0.26,78.38,Nov-22
52056,Ultracash,0.02,0.27,0,0,0,0,0,0,0.02,0.27,Nov-22
52034,Union Bank Apps,1.11,313.3,0,0,0,0,0,0,1.11,313.3,Nov-22
52095,Utkarsh Small Finance Bank Apps,0.02,7.1,0,0,0,0,0,0,0.02,7.1,Nov-22
52011,WhatsApp,9.25,769.29,0,0,0,0,0,0,9.25,769.29,Nov-22
52013,Yes Bank Apps,43.18,"14,682.54",0,0,0.41,219.88,0,0,43.58,"14,902.42",Nov-22
52086,Others,0.02,4.07,0,0,0,0,0,0,0.02,4.07,Nov-22
52014,Airtel Payments Bank Apps,9.44,775.04,0,0,0,0,0,0.14,9.44,775.19,Oct-22
52065,Allahabad Bank Apps,0.03,9.33,0,0,0,0,0,0,0.03,9.33,Oct-22
52006,Amazon Pay,56.42,"6,060.50",0,0,0,0,0,0,56.42,"6,060.50",Oct-22
52038,AU Small Finance Bank Apps,0.54,161.99,0,0,0,0,0,0,0.54,161.99,Oct-22
52005,Axis Bank Apps,7.83,"1,502.28",52.13,51.48,0.03,2.09,0,0,59.99,"1,555.84",Oct-22
52015,Bajaj Finserv,4.12,472.71,0,0,0,0,0,0,4.12,472.71,Oct-22
52036,Bank of Baroda Apps,1.23,466.23,0,0,0,0,0,0,1.23,466.23,Oct-22
52047,Bank of India Apps,0.2,59.97,0,0,0,0,0,0,0.2,59.97,Oct-22
52060,Bank of Maharashtra Apps,0.07,20.1,0,0,0,0,0,0,0.07,20.1,Oct-22
52012,BHIM,25.49,"8,523.17",0,0,0,0,0,0,25.49,"8,523.17",Oct-22
52026,Canara Bank Apps,0.81,219.07,0,0,0,0,0,0,0.81,219.07,Oct-22
52037,Central Bank of India Apps,0.3,71.64,0,0,0,0.02,0,0,0.3,71.66,Oct-22
52057,Citi Bank Apps,0.09,66.83,0,0,0,0,0,0,0.09,66.83,Oct-22
52058,City Union Bank Apps,0.04,12.85,0,0,0,0,0,0,0.04,12.85,Oct-22
52110,Cointab,0.03,11.67,0,0,0,0,0,0,0.03,11.67,Oct-22
52004,Cred,21.28,"20,259.70",0,0,0,0,0,0,21.28,"20,259.70",Oct-22
52040,DBS Digibank Apps,0.43,179.26,0,0,0,0,0,0,0.43,179.26,Oct-22
52024,Deutsche Bank Apps,1.25,111.93,0,0,0,0.01,0,0,1.26,111.93,Oct-22
52101,Dhanlaxmi Bank Apps,0.01,3.21,0,0,0,0,0,0,0.01,3.21,Oct-22
52062,Equitas Small Finance Bank Apps,0.02,8.28,0,0,0,0,0,0,0.02,8.28,Oct-22
52090,Fampay PPI,4.06,56.79,0,0,0,0.01,0,0,4.06,56.79,Oct-22
52082,Fave,0.04,2.53,0,0,0,0,0,0,0.04,2.53,Oct-22
52025,Federal Bank Apps,4.19,574.92,0,0,0,0,0,0,4.19,574.92,Oct-22
52043,Fino Payments bank Apps,0.09,6.46,0,0,0,0,0,0,0.09,6.46,Oct-22
52102,GoIbibo,0.01,1.84,0,0,0,0,0,0,0.01,1.84,Oct-22
52002,Google Pay,"2,496.42","4,20,978.38",0,0,0,0,0,0,"2,496.42","4,20,978.38",Oct-22
52010,HDFC Bank Apps,11.96,"2,997.27",0,0,0,0.03,0,0,11.96,"2,997.29",Oct-22
52045,HSBC Bank Apps,0.14,77.42,0,0.38,0,0,0,0,0.14,77.8,Oct-22
52007,ICICI Bank Apps,31.22,"8,073.99",5.04,381.41,5.34,"6,074.12",0,0,41.61,"14,529.52",Oct-22
52075,IDBI Bank Apps,0.06,25.92,0,0,0,0,0,0,0.06,25.92,Oct-22
52020,IDFC Bank Apps,9.98,888.44,0,0,0,0,0,0,9.98,888.45,Oct-22
52017,India Post Payments Bank Apps,4.7,630.43,0,0,0,0,0,0,4.7,630.43,Oct-22
52030,Indian Bank Apps,0.23,68.97,0,0,0,0,0,0,0.23,68.97,Oct-22
52054,Indian Overseas Bank Apps,0.01,4.72,0,0,0,0,0,0,0.01,4.72,Oct-22
52044,IndusInd Bank Apps,1.15,"1,516.68",0,0,0,0,0,0,1.15,"1,516.68",Oct-22
52117,Janata Sahakari Bank Apps,0.01,4.8,0,0,0,0,0,0,0.01,4.8,Oct-22
52029,Jio Payments Bank Apps,1.38,98.87,0,0,0,0,0,0,1.38,98.87,Oct-22
52022,Jupiter,2.18,280.43,0,0,0,0,0,0,2.18,280.43,Oct-22
52051,Karnataka Bank Apps,0.43,76.62,0,0,0,0,0,0,0.43,76.62,Oct-22
52061,Karur Vysya Bank Apps,0.04,17.62,0,0,0,0,0,0,0.04,17.62,Oct-22
52009,Kotak Mahindra Bank Apps,11.46,"2,426.65",0,0,0,0,0,0,11.46,"2,426.65",Oct-22
52063,MakeMyTrip,0.07,31.85,0,0,0,0,0,0,0.07,31.85,Oct-22
52016,Mobikwik,3.28,708.12,0,0,0,0,0,0,3.28,708.12,Oct-22
52059,NSDL Payments Bank Apps,0.02,3.13,0,0,0,0,0,0,0.02,3.13,Oct-22
52067,Paytm Payments Bank App,995.34,"1,12,062.51",4.9,14.36,0.43,541.32,108.92,"21,002.36","1,109.60","1,33,620.54",Oct-22
52001,PhonePe,"3,452.87","5,93,759.02",0,0,0,0,0,0,"3,452.87","5,93,759.02",Oct-22
52032,Punjab National Bank Apps,0.15,62.77,0,0,0,0,0,0,0.15,62.77,Oct-22
52085,Punjab Sind Bank Apps,0.02,8.05,0,0,0,0,0,0,0.02,8.05,Oct-22
52031,RBL Bank Apps,1.07,243.44,0,0.01,0.01,1.71,0,0,1.08,245.16,Oct-22
52021,Samsung Pay,5.09,554.33,0,0,0,0,0,0,5.09,554.33,Oct-22
52042,South Indian Bank Apps,0.19,58.2,0,0,0,0,0,0,0.19,58.2,Oct-22
52048,Standard Chartered Bank Apps,0.15,86.63,0.07,2.29,0,0,0,0,0.22,88.92,Oct-22
52019,State Bank of India Apps,4.1,"1,936.72",0,0,0,0.01,0,0,4.1,"1,936.72",Oct-22
52055,Tamilnad Mercantile Bank Apps,0.06,9.81,0,0,0,0,0,0,0.06,9.81,Oct-22
52046,TataNeu,0.14,18.3,0,0,0,0,0,0,0.14,18.3,Oct-22
52122,TJSB Bank Apps,0.01,1.86,0,0,0,0,0,0,0.01,1.86,Oct-22
52050,UCO Bank Apps,0.28,80.38,0,0,0,0,0,0,0.28,80.38,Oct-22
52056,Ultracash,0.02,0.24,0,0,0,0,0,0,0.02,0.24,Oct-22
52034,Union Bank Apps,0.82,290.75,0,0,0,0,0,0,0.82,290.75,Oct-22
52095,Utkarsh Small Finance Bank Apps,0.02,6.31,0,0,0,0,0,0,0.02,6.31,Oct-22
52011,WhatsApp,8.38,708.56,0,0,0,0,0,0,8.38,708.56,Oct-22
52013,Yes Bank Apps,55.43,"15,984.43",0,0,0.52,86.46,0,0,55.94,"16,070.88",Oct-22
52086,Others,0.02,5.87,0,0,0,0,0,0,0.02,5.87,Oct-22
52014,Airtel Payments Bank Apps,9.14,680.76,0,0,0,0.02,0,0.11,9.15,680.89,Sep-22
52065,Allahabad Bank Apps,0.03,8.1,0,0,0,0,0,0,0.03,8.1,Sep-22
52006,Amazon Pay,57.38,"6,015.31",0,0,0,0,0,0,57.38,"6,015.31",Sep-22
52038,AU Small Finance Bank Apps,0.48,148.9,0,0,0,0,0,0,0.48,148.9,Sep-22
52005,Axis Bank Apps,7.46,"1,421.09",50.24,46.13,0.02,1.85,0,0,57.72,"1,469.07",Sep-22
52015,Bajaj Finserv,3.29,234.81,0,0,0,0,0,0,3.29,234.81,Sep-22
52114,Bajaj Markets,0.01,1.38,0,0,0,0,0,0,0.01,1.38,Sep-22
52106,Bandhan Bank Apps,0.01,1.88,0,0,0,0,0,0,0.01,1.88,Sep-22
52036,Bank of Baroda Apps,1.11,443.84,0,0,0,0,0,0,1.11,443.85,Sep-22
52047,Bank of India Apps,0.18,54.59,0,0,0,0,0,0,0.18,54.59,Sep-22
52060,Bank of Maharashtra Apps,0.07,17.23,0,0,0,0,0,0,0.07,17.23,Sep-22
52012,BHIM,25.17,"8,308.65",0,0,0,0,0,0,25.17,"8,308.65",Sep-22
52026,Canara Bank Apps,0.78,207.18,0,0,0,0,0,0,0.78,207.18,Sep-22
52037,Central Bank of India Apps,0.28,68.37,0,0,0,0.01,0,0,0.28,68.38,Sep-22
52057,Citi Bank Apps,0.1,67,0,0,0,0,0,0,0.1,67,Sep-22
52058,City Union Bank Apps,0.04,12.45,0,0,0,0,0,0,0.04,12.45,Sep-22
52110,Cointab,0.04,19.35,0,0,0,0,0,0,0.04,19.35,Sep-22
52004,Cred,14.96,"19,237.92",0,0,0,0,0,0,14.96,"19,237.92",Sep-22
52040,DBS Digibank Apps,0.43,176.91,0,0,0,0,0,0,0.43,176.91,Sep-22
52024,Deutsche Bank Apps,1.58,98.43,0,0,0,0.01,0,0,1.58,98.43,Sep-22
52101,Dhanlaxmi Bank Apps,0.01,2.87,0,0,0,0,0,0,0.01,2.87,Sep-22
52062,Equitas Small Finance Bank Apps,0.02,8.76,0,0,0,0,0,0,0.02,8.76,Sep-22
52082,Fave,0.08,4.4,0,0,0,0,0,0,0.08,4.4,Sep-22
52025,Federal Bank Apps,3.84,549.95,0,0,0,0,0,0,3.84,549.95,Sep-22
52043,Fino Payments bank Apps,0.08,5.66,0,0,0,0,0,0,0.08,5.66,Sep-22
52102,GoIbibo,0.01,3.58,0,0,0,0,0,0,0.01,3.58,Sep-22
52002,Google Pay,"2,296.14","3,87,996.14",0,0,0,0,0,0,"2,296.14","3,87,996.14",Sep-22
52018,Groww,0.11,68.03,0,0,0,0,0,0,0.11,68.03,Sep-22
52010,HDFC Bank Apps,10.98,"2,686.10",0,0,0,0,0,0,10.98,"2,686.10",Sep-22
52045,HSBC Bank Apps,0.12,70.14,0,0.43,0,0,0,0,0.12,70.56,Sep-22
52007,ICICI Bank Apps,26.54,"6,862.50",4.84,366.84,3.45,"3,172.47",0,0,34.84,"10,401.81",Sep-22
52075,IDBI Bank Apps,0.05,24.18,0,0,0,0,0,0,0.05,24.18,Sep-22
52020,IDFC Bank Apps,11.53,824.51,0,0,0,0.01,0,0,11.53,824.52,Sep-22
52017,India Post Payments Bank Apps,5.22,572.75,0,0,0,0,0,0,5.22,572.75,Sep-22
52030,Indian Bank Apps,0.21,63.62,0,0,0,1.96,0,0,0.21,65.58,Sep-22
52054,Indian Overseas Bank Apps,0.02,4.79,0,0,0,0,0,0,0.02,4.79,Sep-22
52044,IndusInd Bank Apps,1.04,"1,439.51",0,0,0,0,0,0,1.04,"1,439.51",Sep-22
52117,Janata Sahakari Bank Apps,0.01,4.42,0,0,0,0,0,0,0.01,4.42,Sep-22
52029,Jio Payments Bank Apps,1.4,90.36,0,0,0,0,0,0,1.4,90.36,Sep-22
52022,Jupiter,2.09,259.71,0,0,0,0,0,0,2.09,259.71,Sep-22
52051,Karnataka Bank Apps,0.4,63.84,0,0,0,0,0,0,0.4,63.84,Sep-22
52061,Karur Vysya Bank Apps,0.04,16.74,0,0,0,0,0,0,0.04,16.74,Sep-22
52009,Kotak Mahindra Bank Apps,10.52,"2,230.60",0,0,0,0,0,0,10.52,"2,230.61",Sep-22
52063,MakeMyTrip,0.1,47.83,0,0,0,0,0,0,0.1,47.83,Sep-22
52123,MI Pay,0.03,3.87,0,0,0,0,0,0,0.03,3.87,Sep-22
52016,Mobikwik,3.04,632.71,0,0,0,0,0,0,3.04,632.71,Sep-22
52059,NSDL Payments Bank Apps,0.02,2.79,0,0,0,0,0,0,0.02,2.79,Sep-22
52067,Paytm Payments Bank App,924.77,"1,01,163.26",2.92,9.55,0.4,489.04,109.1,"19,143.49","1,037.20","1,20,805.34",Sep-22
52001,PhonePe,"3,216.78","5,49,583.77",0,0,0,0,0,0,"3,216.78","5,49,583.77",Sep-22
52032,Punjab National Bank Apps,0.13,59.01,0,0,0,0,0,0,0.13,59.01,Sep-22
52085,Punjab Sind Bank Apps,0.02,6.88,0,0,0,0,0,0,0.02,6.88,Sep-22
52031,RBL Bank Apps,0.96,199.7,0,0,0.03,1.21,0,0,0.99,200.91,Sep-22
52021,Samsung Pay,4.55,495.89,0,0,0,0,0,0,4.55,495.89,Sep-22
52042,South Indian Bank Apps,0.17,56.54,0,0,0,0,0,0,0.17,56.54,Sep-22
52048,Standard Chartered Bank Apps,0.14,78.49,0,0,0,0.01,0,0,0.14,78.5,Sep-22
52019,State Bank of India Apps,3.57,"1,818.89",0,0,0,0,0,0,3.57,"1,818.89",Sep-22
52055,Tamilnad Mercantile Bank Apps,0.06,9.21,0,0,0,0,0,0,0.06,9.21,Sep-22
52046,TataNeu,0.13,17.23,0,0,0,0,0,0,0.13,17.23,Sep-22
52122,TJSB Bank Apps,0.01,2.06,0,0,0,0,0,0,0.01,2.06,Sep-22
52050,UCO Bank Apps,0.26,75.02,0,0,0,0,0,0,0.26,75.02,Sep-22
52056,Ultracash,0.01,0.7,0,0,0,0,0,0,0.01,0.7,Sep-22
52034,Union Bank Apps,0.55,237.54,0,0,0,0,0,0,0.55,237.54,Sep-22
52095,Utkarsh Small Finance Bank Apps,0.02,5.59,0,0,0,0,0,0,0.02,5.59,Sep-22
52011,WhatsApp,7.43,631.63,0,0,0,0,0,0,7.43,631.63,Sep-22
52013,Yes Bank Apps,60.8,"14,034.34",0,0,2.3,"2,103.46",0,0,63.1,"16,137.80",Sep-22
52086,Others,0.01,4.85,0,0,0,0,0,0,0.01,4.85,Sep-22
52014,Airtel Payments Bank Apps,7.96,608.38,0,0,0,0.01,0,0.11,7.96,608.5,Aug-22
52065,Allahabad Bank Apps,0.03,7.7,0,0,0,0,0,0,0.03,7.7,Aug-22
52006,Amazon Pay,62.43,"6,353.15",0,0,0,0,0,0,62.43,"6,353.15",Aug-22
52038,AU Small Finance Bank Apps,0.45,138.7,0,0,0,0,0,0,0.45,138.7,Aug-22
52005,Axis Bank Apps,7.39,"1,313.76",50.7,42.71,0.02,1.42,0,0,58.11,"1,357.89",Aug-22
52015,Bajaj Finserv,2.45,178.59,0,0,0,0,0,0,2.45,178.59,Aug-22
52114,Bajaj Markets,0.02,1.58,0,0,0,0,0,0,0.02,1.58,Aug-22
52106,Bandhan Bank Apps,0.01,1.25,0,0,0,0,0,0,0.01,1.25,Aug-22
52036,Bank of Baroda Apps,0.99,383.42,0,0,0,0,0,0,0.99,383.43,Aug-22
52047,Bank of India Apps,0.17,54.81,0,0,0,0,0,0,0.17,54.81,Aug-22
52060,Bank of Maharashtra Apps,0.07,17.19,0,0,0,0,0,0,0.07,17.19,Aug-22
52012,BHIM,24.99,"7,860.48",0,0,0,0,0,0,24.99,"7,860.48",Aug-22
52026,Canara Bank Apps,0.67,176.37,0,0,0,0,0,0,0.67,176.37,Aug-22
52037,Central Bank of India Apps,0.24,64.59,0,0,0,0.01,0,0,0.24,64.59,Aug-22
52057,Citi Bank Apps,0.11,63.08,0,0,0,0,0,0,0.11,63.08,Aug-22
52058,City Union Bank Apps,0.04,11.45,0,0,0,0,0,0,0.04,11.45,Aug-22
52110,Cointab,0.06,24.98,0,0,0,0,0,0,0.06,24.98,Aug-22
52004,Cred,14.81,"19,084.30",0,0,0,0,0,0,14.81,"19,084.30",Aug-22
52040,DBS Digibank Apps,0.48,178.76,0,0,0,0,0,0,0.48,178.76,Aug-22
52024,Deutsche Bank Apps,1.98,119.21,0,0,0,0.01,0,0,1.98,119.21,Aug-22
52101,Dhanlaxmi Bank Apps,0.01,3.1,0,0,0,0,0,0,0.01,3.1,Aug-22
52062,Equitas Small Finance Bank Apps,0.01,4.94,0,0,0,0,0,0,0.01,4.94,Aug-22
52082,Fave,0.14,7.71,0,0,0,0,0,0,0.14,7.71,Aug-22
52025,Federal Bank Apps,3.8,520.2,0,0,0,0,0,0,3.8,520.2,Aug-22
52043,Fino Payments bank Apps,0.08,5.05,0,0,0,0,0,0,0.08,5.05,Aug-22
52102,GoIbibo,0.01,4.82,0,0,0,0,0,0,0.01,4.82,Aug-22
52002,Google Pay,"2,212.73","3,71,081.16",0,0,0,0,0,0,"2,212.73","3,71,081.16",Aug-22
52018,Groww,0.8,490.93,0,0,0,0,0,0,0.8,490.93,Aug-22
52010,HDFC Bank Apps,9.83,"2,415.47",0,0,0,0,0,0,9.83,"2,415.47",Aug-22
52045,HSBC Bank Apps,0.11,65.7,0,0.44,0,0,0,0,0.11,66.14,Aug-22
52007,ICICI Bank Apps,36.96,"8,334.98",4.96,406.52,3.68,"1,983.75",0,0,45.59,"10,725.25",Aug-22
52075,IDBI Bank Apps,0.04,20.31,0,0,0,0,0,0,0.04,20.31,Aug-22
52020,IDFC Bank Apps,10.19,762.41,0,0,0,0,0,0,10.19,762.41,Aug-22
52017,India Post Payments Bank Apps,4.3,504.41,0,0,0,0,0,0,4.3,504.41,Aug-22
52030,Indian Bank Apps,0.22,63.1,0,0,0,0.23,0,0,0.22,63.33,Aug-22
52054,Indian Overseas Bank Apps,0.01,4.66,0,0,0,0,0,0,0.01,4.66,Aug-22
52044,IndusInd Bank Apps,1.01,"1,605.56",0,0,0,0,0,0,1.01,"1,605.56",Aug-22
52117,Janata Sahakari Bank Apps,0.01,4.56,0,0,0,0,0,0,0.01,4.56,Aug-22
52029,Jio Payments Bank Apps,1.85,113.28,0,0,0,0,0,0,1.85,113.28,Aug-22
52022,Jupiter,2.03,249.2,0,0,0,0,0,0,2.03,249.2,Aug-22
52051,Karnataka Bank Apps,0.38,55.32,0,0,0,0,0,0,0.38,55.32,Aug-22
52061,Karur Vysya Bank Apps,0.04,16.54,0,0,0,0,0,0,0.04,16.54,Aug-22
52009,Kotak Mahindra Bank Apps,9.28,"1,939.14",0,0,0,0,0,0,9.28,"1,939.14",Aug-22
52063,MakeMyTrip,0.15,62.67,0,0,0,0,0,0,0.15,62.67,Aug-22
52123,MI Pay,0.15,24.8,0,0,0,0,0,0,0.15,24.8,Aug-22
52016,Mobikwik,2.84,562.95,0,0,0,0,0,0,2.84,562.95,Aug-22
52059,NSDL Payments Bank Apps,0.02,2.85,0,0,0,0,0,0,0.02,2.85,Aug-22
52067,Paytm Payments Bank App,871.86,"96,034.11",4.11,10.37,0.38,458.24,110.05,"17,714.37",986.39,"1,14,217.10",Aug-22
52001,PhonePe,"3,146.71","5,28,433.49",0,0,0,0,0,0,"3,146.71","5,28,433.49",Aug-22
52032,Punjab National Bank Apps,0.09,43.41,0,0,0,0,0,0,0.09,43.41,Aug-22
52085,Punjab Sind Bank Apps,0.01,5.25,0,0,0,0,0,0,0.01,5.25,Aug-22
52031,RBL Bank Apps,0.82,162.46,0,0,0.01,0.56,0,0,0.82,163.02,Aug-22
52021,Samsung Pay,4.09,468.37,0,0,0,0,0,0,4.09,468.37,Aug-22
52042,South Indian Bank Apps,0.16,52.73,0,0,0,0,0,0,0.16,52.73,Aug-22
52048,Standard Chartered Bank Apps,0.14,73.6,0,0,0,0,0,0,0.14,73.6,Aug-22
52019,State Bank of India Apps,4.1,"1,926.51",0,0,0,0,0,0,4.1,"1,926.51",Aug-22
52055,Tamilnad Mercantile Bank Apps,0.06,7.94,0,0,0,0,0,0,0.06,7.94,Aug-22
52046,TataNeu,0.1,15.78,0,0,0,0,0,0,0.1,15.78,Aug-22
52122,TJSB Bank Apps,0.01,2.2,0,0,0,0,0,0,0.01,2.2,Aug-22
52050,UCO Bank Apps,0.25,65.69,0,0,0,0,0,0,0.25,65.69,Aug-22
52056,Ultracash,0.02,1.54,0,0,0,0,0,0,0.02,1.54,Aug-22
52034,Union Bank Apps,0.52,215.23,0,0,0,0,0,0,0.52,215.23,Aug-22
52095,Utkarsh Small Finance Bank Apps,0.02,4.71,0,0,0,0,0,0,0.02,4.71,Aug-22
52011,WhatsApp,6.72,567.17,0,0,0,0,0,0,6.72,567.17,Aug-22
52013,Yes Bank Apps,54.6,"13,008.95",0,0,3.2,"3,225.97",0,0,57.8,"16,234.92",Aug-22
52086,Others,0.01,5.72,0,0,0,0,0,0,0.01,5.72,Aug-22
52014,Airtel Payments Bank Apps,7.4,555.09,0,0,0,0,0,0.16,7.41,555.26,Jul-22
52065,Allahabad Bank Apps,0.03,6.95,0,0,0,0,0,0,0.03,6.95,Jul-22
52006,Amazon Pay,68.77,"6,751.80",0,0,0,0,0,0,68.77,"6,751.80",Jul-22
52038,AU Small Finance Bank Apps,0.42,131.49,0,0,0,0,0,0,0.42,131.49,Jul-22
52005,Axis Bank Apps,7.35,"1,174.32",46.63,38.1,0.02,1.53,0,0,53.99,"1,213.95",Jul-22
52015,Bajaj Finserv,1.95,128.52,0,0,0,0,0,0,1.95,128.52,Jul-22
52114,Bajaj Markets,0.02,1.66,0,0,0,0,0,0,0.02,1.66,Jul-22
52106,Bandhan Bank Apps,0.01,1.35,0,0,0,0,0,0,0.01,1.35,Jul-22
52036,Bank of Baroda Apps,0.88,354.45,0,0,0,0,0,0,0.88,354.45,Jul-22
